Aburido,Mayayamutin,Kabalaka,Aburrido,Siya ay aburido na umalis sa bahay,Nag kabalaka siya pag halin sa balay.,Aburrido suna umikkat iddiay balay.
Abutan,Bigyan,Abtan,Awatan,Abutan natin sila ng tinapay,Abtan ta sila sang tinapay.,Awatan tayo suda iti tinapay.
Adhika,Isang resulta na gustong marating o makamit ng isang tao., Tuyo,Panggep,Maganda ang adhika ni Jenylle.,Nami ang tuyo ni Jenylle.,Nagmayat iti panggep ni Jenylle.
Adorno,Palamuti,Puni,Arkos,Ang ganda ng adornong ginawa niya.,Ka gwapa sang puni nga ginahimo nya.,Nagmayat adiay arkos nga inaramid na.
Adya,"Ligtas, iligtas.",Apinan,Salakniban,Iadya mo kami sa lahat ng masama.,Apinan nyo kami sa tanan nga malain.,Salakniban na kami iti amin nga dakes.
Aga,Una sa panahon,Timprano,sapa,Ang aga kong nagising.,Timprano pa  ko nagbugtaw.,Nasapa ak nga narieng.
Agad,Mabilis at sa maiksing panahon,Dayon,Dagus,Umuwi agad si Berto sa kanilang bahay.,Nag-uli dayon si Berto sa ila balay.,Nagawid nga dagus ni Berto.
Agap,Hindi huli o atrasado,Husto sa oras,Saan nga naladaw,Maagap siya palagi.,Husto sa oras siya pirmi.,Saan nga naladaw isuna kanayon.
Agapay,"Magkatabi, katabi.",Magkatubang,abay,Si Chin at Chon ay pinag-agapay nila.,Si Chin kag Chon gi magkatubang sila.,Ni Chin kinni Chon ket pinag-abay da.
Agas,"Tagis , tanggal.",Naholugan,Alis,Pinaagas ni Junel si Joe.,Naholugan ni Junel si Joe.,Pinaalis ni Junel ni Joe.
Agaw,"Sunggab , agawin.",Mag-agaw,Rabsuten,Gusto niyang agawin yong singsing ko.,Gusto niya gd agawon ang akon singsing.,Kayat na rabsuten adiay singsing ko.
Agham,Ang proseso sa pagtamo ng kaalaman at ang organisadong bahagi ng kaalaman na natamo sa pamamagitan ng pamamaraan,Siyensiya,Siensia,Magandang pag-usapan ang agham.,Nami isturyahan ang siyensiya.,Namayat pagtungtongan iti siensia.
Agimat,Ito ay ang pamosong katawagan para sa mutya o amuleto sa Pilipinas.,Kaanyag,Pangraw-ay,Ako ay may agimat.,May ara ko sang kaanyag.,Adda pangraw-ay ko.
Aginaldo,Isang pang-aginaldo o pamasko.,Regalo,Regalo,May natanggap akong aginaldo.,May nabaton ko nga regalo.,Adda natanggap ko nga aginaldo.
Agiw,Ito ay ang tirahan ng mga gagamba o anlalawa.,Agyo,Sapot,Tanggalin natin ang mga agiw sa bahay.,Tanggalon naton ang agyo sa balay.,Ikkaten tayo agitoy sapot idtoy balay.
Aglahi,"Ay nangangahulugan ng pagkutya, pagpintas o pagmaliit ng isang tao o lahi.",Pagpakahuya,Uyaw,Inaaglahi nila si Ecah.,Gi pagpakahuya nila si Ecah.,Uy-uyawen da ni Ecah.
Agnas,Ito ay ang pagkabulok ng isang bagay.,Dunot,Nabangsit,Agnas na ang kanyang katawan.,Dunot na ang iya lawas.,Nabangset adiay bagi nan.
Agos,Takbo o galaw ng tubig at iba pang likido.,Mag ilis,Ayus,Malakas ang agos ng tubig.,Kusog ang ilis sang tubig.,Nagpigsa iti ayus iti danom.
Agrabyado,Api o inaapi.,Kaperdihan,Daksan,Siya ay na agrabyado.,Siya ay na perdi.,Nadaksan suna.
Agwat,"Ito ay ang pagitan, distansya, layo o espasyo.",Antad,Nagbaetan,Ang layo ng agwat mo sa edad ko.,Layo ang antad mo sa edad ko.,Naggaddayo iti nagbaetan iti tawen ko kanyam.
Ahas,"Isang uri ng hayop na may makaliskis at mahabang katawan, gumagapang at may sanga-sangang dila.",Man-og,Uleg,Natuklaw ako ng ahas.,Nakagat ko sang man-og.,Natukkawak iti uleg.
Ahit,Pagtanggal ng balbas o buhok.,Magbarbas,Nagbarbas,Hindi ka nag ahit ng iyong barbas.,Wala ka nag barbas sang bungot mo.,Madi ka nagbarbas.
Ahon,Ito ay ang pagsampa o pag-akyat sa mataas na lugar.,Takas,Sumang-at,Umahon kana jan sa dagat.,Takas na dira sa dagat.,Sumang-at ka dita baybayen.
Akala,Pagkakaalam o sariling palagay.,Pahuna-huna,Panunot,Akala mo lang yun.,Pahuna-huna molang to.,Panunot mo lang dayta.
Akbay,Paglagay ng isang kamay sa balikat ng kasama.,Akbay,Akpay,Bawal mag akbay.,Bawal mag akbay.,Madi mabalin agakpay.
Akda,"Pampanitikan o panliteraturang obra, katha, lathala, o sulat.",Buluhaton,Aramid,Gusto ko ipakita ang akda ko.,Gusto ko ipalantaw ang buluhaton ko.,Kayat ko ipakita iti aramid ko.
Akin,Ko o ako,Akoa,Kukuak,Akin ang damit na to.,Akoa ang bayo nga na.,Kukuak atoy bado nga daytoy.
Akit,Pagtawag sa pansin o damdamin ng iba.,Amyon,Akit,Inakit siya ng asawa ko.,Gin amyon sa ka asawa ko.,Inakit suna iti asawak.
Aklas,Pag-aaklas.,Welga,Sintok,Gusto niya ng pag-aaklas.,Gusto nya mag welga.,Kayat na iti panagsintoken.
Aklat,Katipunan ng mga nilimbag na akda.,Libro,Libro,Pahiramin mo ako ng iyong aklat.,Pahulama ko sang imo libro.,Pabuludan nak man iti libro.
Akma,Nagkaka-akma.,Angay,Mainugot,Akma ito sa nakita ko.,Angay gid to sa nakit an ko.,Mainugot atoy iddiay nakitak.
Aksaya,Pagsayang sa mga bagay na walang kabuluhan.,Usikan,Agdadae,Wag kang mag aksaya.,Hindi mo pag usikan.,Madi ka nga agdadae.
Aksidente,"Sakuna, kapahamakan, digrasya at iba pa.",Disgrasya,Disgrasya,Naaksidente ang matanda.,Na disgrasya ang mal am.,Nadisgrasya adiay baket.
Akusahin,"Paratangan, isumbog, tulisain.",Isugid,Idarem ,Ituro mo ang dapat akusahin.,Itudlo ang dapat isugid.,Itudom adiay dapat nga idarem.
Akyatin,Pag-akyat sa mataas na bagay.,Sakaon,Ulyen,Akyatin natin ang santol.,Sakaon ta ang santol.,Ulyen ta adiay santol.
Alab,"Ningas, lagablab, laab, dagabdb, init o liyab.",Kalayo,Apoy,Malakas ang alab ng apoy.,Kusog ang siga ka kalayo.,Napigsa iti apoy.
Alabok,"Tumutukoy ito sa maliliit na piraso na waring pulbos na madalas ay lu,ulutang a hangin o nakapatong sa lupa.",Yab-ok,Tapuk,Masakit sa mata ang alabok.,Sakit sa mata ang yab ok.,Nasakit iti mata iti tapuk.
Alahas,Ito ay isang palamuti sa katawan ng tao.,Alahas,Alahas,Ibenta mo na ang mga alahas mo.,Ibaligya na ang alahas mo.,Ilakom agita alahas mon.
Alak,Inuming nakalalasing dahil sa taglay na alkohol.,Alak,Arak,Wag kang uminom ng alak.,Hindi ka mag inom ka ilimnon,Madi ka umin-inom it arak.
Alakdan,Isang hayop na imbertebradong may walong mga hita at nabibilang sa order na Scorpiones sa klaseng Arachnida.,Iwi-iwi,Manggagama,Ang laki ng alakdan.,Ka dako sang iwi-iwi.,Nagdakkel iti manggagama.
Alalay,"Ingatan, hawakan, tulungan.",Pagtabang,Itag-ay,Alalay mo ang hanap ko.,Pagtabang mo ang ginapangita ko.,Itag-ay mo iti biruk ko.
Alam,"Batid, dunong,tarok, tanto.",Bal-an,Sirib,Alam kong mahal mo ako.,Bal-an ko ang palangga mo.,Sirib ko nga ay'ayaten nak.
Alambre,"Kawad, yari sa almbre.",Telegrama,Barut,Ilagay mo na ang alambre.,Ibutang na ang telegrama.,Ikabil mo ata baruten.
Alamid,"Musang, pusang bundok.",Kuring,Mutit,Nakakita ako ng alamid.,Nakakita ko sang kuring.,Nakakita ak iti mutit.
Alang-alang,"Pitagan, pagtanggi, pakundangan.",Para,Para,Alang-alang sa kanya magpapakabait ako.,Para sa iya mapaka buot nako.,Para kenyana agpakasimpet akun.
Alangan,"Di angkop, di akma, di lapat, di atubili.",Alanganin,Agdudua,Alangan kami sa kanya.,Alanganin kami sa iya.,Agdudua kami kanyana.
Alapaap,"Ulap sa itaas, panganoorin.",Darauda,Ulep,Ang ganda ng alapaap.,Kanami sang darauda.,Nagmayat adiay ulep.
Ale,"Tiya, tita.",Tiya,Ikit,Ang ganda ng ale.,Ka gwapa kay tiya.,Nagpintas adiay ikit.
Alembong,"Lumandi, umalembong, kumiri, makipaglimbangan.",Biga,Sumarampeteng,Inalembongan niya nanaman yung mama.,Nagbiniga duman siya sa lalaki.,Sumarampeteng man isuna iddiay lalaken.
Alibadbad,"Pagkalula, pagduduwal, pagkaliyo.",Nagsuka,Ulaw,Naalibadbad siya matapos sumakay sa sasakyan.,Nagsuka siya pagtapos magsakay sa salakyan.,Naulaw isuna malpas agsakay iti lugan.
Alibugha,"Halaghag, taksil, lilo, waldas, di tapat.",Indi masaligan,Madi mapagtalkan,Hindi siya mapag-alibugha.,Indi siya masaligan.,Madi mapagtalkan isuna.
Aligid,"Palibot, paikot.",Magpalibot,Lawlaw,May umaali-aligid sa bahay.,May magpalibot sa aton balay.,Adda iti aglawlawlaw iddiay balay.
Alikabok,"Alabok, gabok, pulbos na lupa.",Yab-ok,Tapuk,Maraming alikabok ang sapatos mo.,Damo yab-ok ang sapatos mo.,Nagado tapuk na ata sapatos mo.
Alila,"Utusan, kasambahay.",Sulugoon,Adipen,Alila kalang sa bahay na ito.,Sulugoon kalang sa balay nga ni.,Adipen kalang atoy balay nga daytoy.
Alimango,Hayop na pantubig na may malapad ngunit sapad na katawan.,Alimango,Kappi,Hindi ako kumakain ng alimango.,Wala ko gakaun sang alimango.,Madi ak mangmangan iti kappi.
Alimasag,Hayop na pantubig na mas maliit kaysa sa alimango.,Alimango,Kappi,Malasa nag alimasag.,Wala ko gakaun sang alimango.,Naraman iti kappi.
Alimpuyo,Munting ipu-ipo o puyo ng tubig.,Pagbuyong,Dumurot,May nakita akong alimpuyo.,May nakit an ko nga pagbuyong.,Adda nakitak nga dumurot.
Alimura,"Lait, insulto, pagdusta, mura, paghamak.",Hikay,Kabubusor,Inalimura niya ang kaibigan ko.,Naghikay siya sa amigo ko.,Kabubusor na adiay gayyem ko.
Alin,Pagtatanong kung ano ang pipiliin o tinutukoy ng pagtatanong.,Diin,Ania,Alin ang mas bagay sa kanya?,Diin ang bagay sa iya?,Ania iti mas bagay kanyana?
Alindog,Nangangahulugang kalidad ng pagbibigay kaluguran o pagpukaw paghanga.,Pakulungan,Pagpapakulotan,Malakas ang kanyang alindog.,Kusog ang iya nga pakulungan.,Napigsa iti pagpapakulotan na.
Alinlangan,"Duda, di-katiyakan, hindi tiyak, pag-aalangan, pagdududa.",Duha-doha,Dudua,Wag kang mag alinlangan na mag tanong.,Hindi ka mag duha-doha mamangkot.,Madi ka nga agdudua nga agdamag.
Alintanahin,"Alaga, pag-ingat.",Pahibalo,Ipilagip,Lagi mo siyang alintanahin na magdasal.,Pirmi mo siya pahibaloan mangamuyo.,Kanayon mo ipalagip kenyana nga agkararag.
Alipin,Tumutukoy sa pinakamababang uri ng lipunan noong sinaunang panahon ng Pilipinas.,Katulong,Katulong,Alipin ka lang dito.,Katulong kalang diri.,Katulong ka lang ditoy.
Alipores,"Tagasunod, sakop.",Alipores,Alipores,Wag kang pumayag na alipores ka lang.,Hindi ka magsugot nga himuon ka nga alipores.,Madi ka pumaypayag nga alipores ka laeng.
Alipusta,"Dusta, aba, amis, api, hamak.",Magtamay,Uyaw,Puro pag-aalipusta ang natanggap niya.,Puro magtamay ang nakuha nya.,Puro uyaw iti natanggap na.
Alis,"Pagyao, paglayo, pagpanaw, paglakad.",Maghalin,Umikkat,Alis muna dyan.,Maghalin ka anay da.,Agtalaw ka paylang dita.
Alisan,Hunaban.,Kuhaon,Ikkatan,Alisan nyo ng dumi ang mesa.,Kuhaon nyo ang higko sa lamesa.,Ikkatan niyo adiay lamesaan ti rugit.
Aliw,"Libang, ligaya, kasiyahan.",Lipay,Ragsak,Ramdam ko ang aliw sa mga mata niya.,Nabatyagan ko gid ang lipay sa iya mata.,Maritnak iti ragsak iddiay matmata na.
Aliwalas,"Presko, mahangin.",Tin-aw,Nalawag,Ang aliwalas ng mukha niya.,Tin-aw iya itsura.,Nalawag adiay rupa na.
Alkansiya,Taguan ng perang barya.,Alkansya,Pagurnungan,Mag ipon kayo gamit ang alkansiya.,Alkansya inyo gamita para magtago kwarta.,Agurnong kayo gamit adiay pagurnungan.
Alkila,"Upa, bayad.",Arkila,Arkila,Ang mga upuan na to ay alkila lamang.,Ang bangko nga ni din arkila lang.,Atoy tugtugaw nga daytoy kit arkila laeng.
Almires,"Dikdikan, lusong, bayuhan.",Almires,Also,Diyan mo dikdikin yang bawang sa almires.,Dra mo dukdukun ang ahos sa almires.,Idtam dikdiken also dikdiken ata bawang.
Almusal,Agahan.,Pamahaw,Pammigat,Kumain ng almusal araw-araw.,Magkaun sang pamahaw adlaw-adlaw.,Mangan iti pammigat inaldaw.
Alog,"Pagkalog, ugoy, uga, yugyog.",Uyogon,Gungun,Sana na alog niya ang puno ng mangga.,Tani uyogon nya ang kahoy sang manga.,Nagungun na kuma adiay puon ti mangga.
Alon,Ludu-lundo.,Alon,Alon,Ang lakas ng alon.,Kusog ang alon.,Nagpigsa adiay alon.
Alpas,"Kalag, kalas, nakawala, tanggal, libre.",Wala bayad,Waya,Kakalas na daw siya.,Mahalin sya nga wala bayad.,Agwaya kanu isunan.
Alukin,"Pag-aalok, paghahandog , mag-alay , tawagin.",Tanyag,Iyaban,Alukin ng maayos ang mamimili.,Tanyagan san maayo ang mga gabakal.,Iyaban nga nasyaat agita gumatgatang.
Alulod,"Paagusan, patuluan.",Paagusan,Salulog,May alulod siyang nakita.,Kita ko tung paagusan.,Adda nakita na nga salulog.
Amag,"Pekas, nata, pulilyo, dapulak.",Hormahan,Sukog,Hindi na matatanggal yang pekas mo.,Indi na matanggal ng hormahan o.,Madi maikkat ata sukog mon.
Amain,"Tiyo, tito.",Angkul,Angkel,Ang gwapo ng amain mo.,Kagwapo kay angkul ba.,Nagtaraki ata angkel mo.
Ambon,Bahagyang patak ng ulan.,Tagithi,Arbis,Umaambon nanaman.,Tagithi duman.,Agar-arbis manin.
Amihan,Hanging bundok na umiihip sa kapatagan.,Amihan,Amihan,Nasilayan ko na ang amihan.,Nakita ko ang amihan.,Nakitak adiay amihanen.
Aminin,Tanggapin ang pagkakamali.,Aminon,"Aminen, aminem",Aminin mo na ang kasalanan mo.,Aminon muna ang sala mo.,Aminem iti basul mon.
Amnestiya,Pag-intindi o pagbibigay ng pasensya.,Pasinsya,Pammakawan,Humingi sya ng amnestiya.,Nangayo sya pasinsya.,Dummawat suna iti pammakawan.
Amo,"Bos, tsip, hepe.",Amo,turay,Ako ang amo sa bahay na ito.,Ako ya amo sa balay nga ni.,Naturayak idtoy balay nga daytoy.
Amor,"Pagtingin, pagtatangi, pagmamahal.",Pagpalangga,Pahay-ayatan,Ang lakas ng amor mo sa akin.,Kusog ang pagpalangga mo sa akon.,Nagpigsa ti pahay-ayatam kenyak.
Amot,nangangahulugang amabag.,Bahin,Bingay,Ito ang amot mo.,Ari ang bahin ko.,Atoy iti bingay mo.
Amoy,"Bango o baho, halimuyak.",Baho,Angot,Mabaho ang amoy ng bulaklak.,Baho tana ang bulak.,Nabangset adiay angot na adiay sabong.
Ampaw,Bigas o mais na pinaputok.,Bugas,Busi-busi,Masarap ang ampaw.,Namit nag bugas.,Nagimas iti busi-busi.
Ampon,"Kandili, aruga, kupkop, alaga.",Sapopuhon,Ampon,Ampon kalang ng tita mo.,Sapopuhon kalang ka ante mo.,Taraknen naka lang ni antem.
Amuin,"Hikayatin, akitin.",Akiton,Ay'ayo,Amuin mo siya.,Akiton mo siya.,Ay'aywem isuna.
Amutan,Pagbilhan nang kaunti sa nabili.,Amutan,Amot,Amutan mo muna ang kasama mo.,Amuti anay ng upod mo.,Amotam paylang ta kadwam.
Amuyin,Pag-amoy sa isang bagay.,Simhutan,Angoten,Amuyin mo ang bulaklak.,Simhutan mo ang bulak.,Angotem ata sabong.
Anasan,Pagbulong sa kasama sa mahinang paraan.,Maghutik,Arasaas,Inanasan niya ako.,Naghutik sya sa akon.,Inarasaasan nak.
Anay,Pesteng sumisira sa kahoy.,Subay,Anay,Ang dami ng anay sa bahay na ito.,Damo subay sa balay ngani.,Nagado tii anay ditoy balay nga daytoyen.
Andar,"Galaw, lakad.",Pagpalakat,Andar,Umaandar na ang sasakyan.,Palakat na ang salakyan.,Agan-andar adiay luganen.
Angil,"Umayos, patigilin.",Pahimuyong,talna,Umangil ka na nga.,Pahimuyong kada.,Agtalna ka man.
Angkas,Umangkas o angkasan.,Mag-angkas,Angkas,Bakit kapa aangkas sa iba.,Nga-a mag-angkas kapa sa iban.,Apay ta agangkas ka pay lang iti sabali.
Anino,"Lilim, sombra.",Anino,Aniniwan,Ang laki ng anino mo.,Kadako sang imo nga anino.,Nagdakkel ata aniniwam.
Anit,Balat ng ulo.,Panit sa ulo,Kudil te ulo,Nakikita ko ang anit mo.,Nakita ko ang panit sang ulo mo.,Makikitak ata kudil iti ulom.
Anod,Tangay ng agos.,Naanod,Maiyanod,Hindi ka maaanod dahil malaki ka.,Hindi ka maanod kay dako ka.,Madi ka maiyanod ta dakkel ka.
Antas,"Marka, puwesto.",Titulo,Klase,Sa mataas na antas ako ng paaralan nag-aaral.,Sa taas ko nga titulo sang skwelahan naga skwela.,Iti nangato nga klase iti skwelaanak agis-eskwela.
Antig,"Banggit, pagunita, pahiwatig.",Handumanan,Palagip,Gusto niya ng antig para sa lola niya.,Gusto niya sang handumanan para sa iya lola.,Kayat na iti palagip para iti apong na.
Apelyido,"Pamansag, ngalan, angkan.",Apelyido,Apelyido,Ang ganda ng apelyido mo.,Kanami sa imo nga apelyido.,Nagmayat iti apelyidom.
Aprobado,Pagpayag sa isang bagay.,Panugot,Anamungan,Aprobado na ang bibilhin.,Napanugotan dun ang mga baraklon.,Anamungan iti mga gagatanginen..
Araro,Gamit na pangbungkal ng lupa.,Arado,Arado,Si juan ay nag araro sa bukid.,Nag arado si Juan sa bukid.,Nag-arado ni Juan iddiay taltalon.
Areglado,"Inayos, inilapat.",Kaayoh,Urnos,Areglado yan lahat.,Kaayohon ina tanan.,Naurnos dayta amin.
Ari,"Propyedad, kabuhayan, yaman.",Pagkabutang,Kukua,Ako ang may ari nito.,Akon ning pagkabutang.,Syak ti akin kukua dayta.
Arina,Hinahalo o inagamit sa paggawa ng tinapay at iba pa.,Harina,Tapong,Sira na ang arina na yan.,Hindi na pwede ang harina ngana.,Perdi ata arina nga daytan.
Arte,"Sining, halimbawa ay ng musika, pagpinta at panulat.",Kahusay,Arte,Ang arte ng babae sa palabas.,Ang babae kahusay magdala sa palabas.,Nagarte  adiay babae iddjay pabuya.
Artipisyal,"Paimbabaw,  balat-bunga, balat-sibuyas.",Indi natural,Saan a kasisigud,Lahat ng bagay dito ay artipisyal.,Tanan nga sa palibot indi natural.,Amin nga bagay dioty kit saan a kasisigud.
Asa,"Pag-asa,  bagay na gustong mangyari.",Paglaom,Namnama,Wag mawalan ng pag-asa.,Indi madulaan sang paglaom.,Madi maawanan iti namanama.
Asalto,"Salakay, daluhong, sorpresang pagtitipon.",Asalto,Siddaaw,Naghanda sila ng asalto.,Naghanda sila sang asalto.,Naghanda isuda iti siddaaw.
Asendero,May-ari o namamahal ng isang asyenda.,Tag-iya,kinkanya,Siya ang may ari niyan.,Siya ang tag-iya sina.,Suna kinkanya dayta.
Asenso,"Promosyon, pagtaas, pag-unlad.",Pagtaas,Ita-nok,Sana ay mag asenso rin tayo sa buhay.,Tani mag pagtaas na aton pangabuhi.,Adda kuma met iti ita-nok tayoi ti biyag.
Asero,"Talim, bakal.",Asero,Paslep,Humawak siya ng asero.,Nag kapot siya ka asero.,Nageggem isuna iti paslep.
Asistihan,"Harapin, puntahan, tulungan.",Ayuda,Sangwen,Gusto ko siyang asiwaen.,Gusto ko siya ayudahan.,Kayat ko isuna sangwen.
Aso,"Usok, asap.",Aso,Usok,Ang sakit sa mata ng aso.,Sakit sa mata ang aso.,Nagsakit iti mata iti usok.
Astrolohiya,Isang astrolohiya.,Astrolohiya,Astrologiya,Interesado siya sa astrolohiya.,Interesado siya sa astrolohiya.,Iteresad isuna iti astrogiya.
Aswang,Manananggal.,Aswang,Aswang,Nakakita ang kasintahan ko ng aswang.,Nakakita ang uyab ko sang aswang.,Nakakita adiay nubyok iti aswang.
At,Ginagamit sa pangungusap atbp.,Kag,Kin,Ikaw at ako ay magkaibigan.,Ikaw kag ako ang mag amiguhanay.,Sika kin syak kit aggayyem.
Atake,"Salakay, daluhong, lusob.",Atake,Rauten,Inaatake siya ng mga tao.,Gin atake siya ka mga tao.,Rarauten suna iti mga tattao.
Atay,Isang otoy.,Atay,Dalem,Ang sarap ng atay ng manok.,Namit ang atay ka manok.,Nagimas iti dalem iti manok.
Atip,Bubong.,Atop,Atep,Sira na ang ating atip.,Guba na ang aton atop.,Perdi atoy atep tayon.
Atras,"Urong, balik.",Paisul,Atras,Atras-abante ang sasakyan.,Paisul-paatubang ang salakyan.,Atras-abante adiay lugan.
Awa,"Habag, lunos, hunusdili.",Kaluoy,Asi,May awa ang Diyos.,May kaluoy ang Ginoo.,Adda asi na ni apo.
Away,"Laban, bagbag, basag-ulo, tunggalian.",Kara,Apa,Palagi nalang tayong nag aaway.,Pirmi nalang ta naga kara.,Kanayon talang agap-apan.
Awit,"Kanta, himig.",Kanta,kansion,Anong awit ba ang nais mo?,Ano nga kanta ang gusto mo.,Inya nga kansion iti kayat mo?
Ay,Maging.,Ay,Ket,Ako ay maganda.,Ako ay gwapa.,Siak ket nagwapa.
Ayaw,"Hindi gusto, pagtanggi.",Hindi,Madi kayat,Ayaw ko sa moreno.,Hindi ko sa itumon.,Madik kayat iti moreno.
Ayon,"Alinsunod, payag.",Katigan,Parabor,Ayon sa mga doktor.,Katigan ka mga doktor.,Parabor iti mga doktor.
Ayusin,Pag-aayos ng mga nasira.,Kaayohon,Tarimaanen,Ayusin mon ang sarili mo.,Kaayohon mo ang kaugalingum mo.,Tarimaanem ata sarilim.
Balbado,"Salanta, gastado.",Balbado,Balbado,Balbado na siya.,Balbado na sya.,Balbado isunan.
Balibag,"Maghagis, pukulin, sibatin.",Itab-og,Iwallages,Gusto ni Ann ibalibag ang mga upuan.,Gusto ni Ann itab-og ang mga bangko.,Kayat ni ann iwallages agidiay tugtugaw.
Baligtad,"Tiwarik, tuwad, tumbalik, dapa.",Baliskad,Baliktad,Baligtad ang nasuot mong damit.,Baliskad ang nasuksok nya nga bangko.,Baliktad ata naisuot mo nga bado.
Balik,"Uwi, sauli, ulit, buwelta, urong, pag uwi sa pinanggalan.",Balik,Subli,Gusto kong bumalik sa probinsya.,Gusto ko magbalik sa banwa.,Kayat ko agsubli iddiay probinsya.
Balikat,Bahagi ng katawang nasa itaas ng braso.,Abaga,Abaga,Ang sakit ng balikat ko.,Ka sakit ka abaga ko.,Nagsakit atoy abagak.
Baling,"Kiling, paling, linga, lingon.",Liko,Sirko,Nagbaling ang tao sa likod ko.,Nagliko ang tao sa likod ko.,Nagsirko adiay tao idtoy likod ko.
Balisa,"Balino, kutob, bagabag, agam-agam.",Pagpakabalaka,Gagar,Balisa ang mukha niya.,Pagpakabalaka sang itsura nya.,Gagar adiay rupa na.
Balita,"Tanyag, bantog, kilala, pangyayari.",Balita,Balita,Nakita kita sa balita.,Nakit an taka sa balita.,Nakita ka iddiay balita.
Baliw,"Hibang, siraulo.",Buang,Bagtit,Baliw na ang kasama ko.,Buang ang upod ko.,Bagtit atoy kadwa kon.
Balo,"Biyudo, biyuda, bao, patay na ang asawa.",Balo,Balo,Balo na ang kapatid niya.,Balo na ang utod ko.,Balo ata kabsat nan.
Balsa,"Mga kawayang pinagtali-tali, kaladkad.",Balsa,Balsa,Sira ang balsa na yan.,Guba ang balsa nga na.,Perdi ata balsa nga dayta.
Baltak,"Haltak, batak, labnot, hila.",Butongon,Guyod,Baltakin mo yang tali.,Butongon mo ng higot.,Guyodem ata galot.
Balutan,Papel o anumang pambalot.,Putos,Balkot,Balutam mo nga yan.,Iputos  na gani na.,Balkotem man dayta.
Balwarte,Saklaw ng kaalaman.,Sakop,Sakop,Ito ang aming balwarte.,Amuni ang amon sakop.,Atoy iti balwartek.
Balyena,Isang uri ng hayop sa dagat.,Balyena,Balyena,Ang laki ng balyena na yan.,Dako ang balyena nga na.,Nagdakkel ta balyena nga dayta.
Banaag,"Sinag, sikat, kislap, bahagyang liwanag.",Masilaw,Naranyag,Banaag ang kulay ng damit mo.,Masilaw ang kulay ka bayo mo.,Naranyag ata kulay iti badom.
